userID,game,action,hours_played,genre,metascore,user_score,score
31669242,Fallout 4,play,67.0,General,84,55,-215.5
127628725,Fallout 4,purchase,1.0,General,84,55,-215.5
127628725,Fallout 4,play,1.2,General,84,55,-215.5
45353031,Fallout 4,purchase,1.0,General,84,55,-215.5
45353031,Fallout 4,play,15.1,General,84,55,-215.5
6144819,Fallout 4,purchase,1.0,General,84,55,-215.5
6144819,Fallout 4,play,46.0,General,84,55,-215.5
133378280,Fallout 4,purchase,1.0,General,84,55,-215.5
133378280,Fallout 4,play,173.0,General,84,55,-215.5
47457723,Fallout 4,purchase,1.0,General,84,55,-215.5
47457723,Fallout 4,play,4.9,General,84,55,-215.5
108264287,Fallout 4,purchase,1.0,General,84,55,-215.5
108264287,Fallout 4,play,34.0,General,84,55,-215.5
36404933,Fallout 4,purchase,1.0,General,84,55,-215.5
36404933,Fallout 4,play,62.0,General,84,55,-215.5
47384303,Fallout 4,purchase,1.0,General,84,55,-215.5
47384303,Fallout 4,play,23.0,General,84,55,-215.5
92276000,Fallout 4,purchase,1.0,General,84,55,-215.5
92276000,Fallout 4,play,12.2,General,84,55,-215.5
42657809,Fallout 4,purchase,1.0,General,84,55,-215.5
42657809,Fallout 4,play,44.0,General,84,55,-215.5
154230723,Fallout 4,purchase,1.0,General,84,55,-215.5
154230723,Fallout 4,play,5.4,General,84,55,-215.5
161896440,Fallout 4,purchase,1.0,General,84,55,-215.5
161896440,Fallout 4,play,2.2,General,84,55,-215.5
151603712,Path of Exile,purchase,1.0,Action RPG,86,81,292.0
151603712,Path of Exile,play,8.1,Action RPG,86,81,292.0
117217039,Path of Exile,purchase,1.0,Action RPG,86,81,292.0
151229648,Path of Exile,purchase,1.0,Action RPG,86,81,292.0
151229648,Path of Exile,play,0.2,Action RPG,86,81,292.0
170095814,Path of Exile,purchase,1.0,Action RPG,86,81,292.0
248444377,Path of Exile,purchase,1.0,Action RPG,86,81,292.0
168031436,Path of Exile,purchase,1.0,Action RPG,86,81,292.0
41883322,Path of Exile,purchase,1.0,Action RPG,86,81,292.0
42061089,Path of Exile,purchase,1.0,Action RPG,86,81,292.0
42061089,Path of Exile,play,0.7,Action RPG,86,81,292.0
276118496,Path of Exile,purchase,1.0,Action RPG,86,81,292.0
61676491,Path of Exile,purchase,1.0,Action RPG,86,81,292.0
61676491,Path of Exile,play,0.2,Action RPG,86,81,292.0
171512034,Path of Exile,purchase,1.0,Action RPG,86,81,292.0
68224834,Path of Exile,purchase,1.0,Action RPG,86,81,292.0
68224834,Path of Exile,play,25.0,Action RPG,86,81,292.0
44866715,Path of Exile,purchase,1.0,Action RPG,86,81,292.0
44866715,Path of Exile,play,1.2,Action RPG,86,81,292.0
60217594,Path of Exile,purchase,1.0,Action RPG,86,81,292.0
60217594,Path of Exile,play,11.2,Action RPG,86,81,292.0
219466905,Path of Exile,purchase,1.0,Action RPG,86,81,292.0
64787956,Path of Exile,purchase,1.0,Action RPG,86,81,292.0
64787956,Path of Exile,play,2.2,Action RPG,86,81,292.0
249232725,Path of Exile,purchase,1.0,Action RPG,86,81,292.0
249232725,Path of Exile,play,1.7,Action RPG,86,81,292.0
121360145,Path of Exile,purchase,1.0,Action RPG,86,81,292.0
121360145,Path of Exile,play,871.0,Action RPG,86,81,292.0
12610800,Path of Exile,purchase,1.0,Action RPG,86,81,292.0
12610800,Path of Exile,play,329.0,Action RPG,86,81,292.0
146999982,Path of Exile,purchase,1.0,Action RPG,86,81,292.0
215160630,Path of Exile,purchase,1.0,Action RPG,86,81,292.0
215160630,Path of Exile,play,0.5,Action RPG,86,81,292.0
131940023,Path of Exile,purchase,1.0,Action RPG,86,81,292.0
131940023,Path of Exile,play,7.8,Action RPG,86,81,292.0
297279953,Path of Exile,purchase,1.0,Action RPG,86,81,292.0
297279953,Path of Exile,play,1.6,Action RPG,86,81,292.0
87907200,Path of Exile,purchase,1.0,Action RPG,86,81,292.0
87907200,Path of Exile,play,0.2,Action RPG,86,81,292.0
216025815,Path of Exile,purchase,1.0,Action RPG,86,81,292.0
216025815,Path of Exile,play,32.0,Action RPG,86,81,292.0
298505728,Path of Exile,purchase,1.0,Action RPG,86,81,292.0
298505728,Path of Exile,play,5.0,Action RPG,86,81,292.0
80164199,Path of Exile,purchase,1.0,Action RPG,86,81,292.0
80164199,Path of Exile,play,1.1,Action RPG,86,81,292.0
7440594,Path of Exile,purchase,1.0,Action RPG,86,81,292.0
7440594,Path of Exile,play,5.0,Action RPG,86,81,292.0
92393218,Path of Exile,purchase,1.0,Action RPG,86,81,292.0
92393218,Path of Exile,play,12.7,Action RPG,86,81,292.0
112110682,Path of Exile,purchase,1.0,Action RPG,86,81,292.0
112110682,Path of Exile,play,0.1,Action RPG,86,81,292.0
160469883,Path of Exile,purchase,1.0,Action RPG,86,81,292.0
160469883,Path of Exile,play,0.5,Action RPG,86,81,292.0
166858869,Path of Exile,purchase,1.0,Action RPG,86,81,292.0
166858869,Path of Exile,play,284.0,Action RPG,86,81,292.0
84455820,Path of Exile,purchase,1.0,Action RPG,86,81,292.0
84455820,Path of Exile,play,1.1,Action RPG,86,81,292.0
189858084,Path of Exile,purchase,1.0,Action RPG,86,81,292.0
189858084,Path of Exile,play,1.1,Action RPG,86,81,292.0
32749624,Path of Exile,purchase,1.0,Action RPG,86,81,292.0
141873792,Path of Exile,purchase,1.0,Action RPG,86,81,292.0
241524841,Path of Exile,purchase,1.0,Action RPG,86,81,292.0
134967717,Path of Exile,purchase,1.0,Action RPG,86,81,292.0
53898495,Path of Exile,purchase,1.0,Action RPG,86,81,292.0
